
-8.71926,  2.52533, 708.80242, -15.37779,  6.76964, -1.36120
-9.00052,  2.14653, 708.80242, -15.37779,  6.76964, -1.24777
-9.28179,  2.90413, 708.80242, -15.37779,  6.58159, -1.39902
-8.85989,  2.52533, 708.80242, -15.18064,  6.58159, -1.09653
-9.00052,  2.65159, 708.80242, -15.37779,  6.58159, -1.32339
-8.85989,  3.03039, 709.31828, -15.27921,  6.67562, -1.39902
-8.29736,  2.65159, 708.80242, -15.18064,  6.58159, -1.28558
-8.57863,  2.90413, 708.80242, -15.18064,  6.58159, -1.17215
-8.29736,  2.90413, 709.31828, -15.08206,  6.48757, -1.28558
-8.71926,  3.15666, 708.80242, -15.18064,  6.58159, -1.20996
-8.15673,  3.28292, 708.80242, -15.18064,  6.58159, -1.13434
-7.87546,  3.03039, 709.31828, -15.08206,  6.48757, -1.43683
-8.43799,  3.40919, 708.80242, -15.18064,  6.58159, -1.17215
-8.15673,  3.15666, 709.31828, -15.08206,  6.48757, -1.17215
-8.29736,  2.65159, 708.28655, -15.08206,  6.48757, -1.36120
-8.29736,  2.39906, 708.80242, -14.98349,  6.39355, -1.36120
-8.85989,  3.15666, 708.80242, -14.98349,  6.39355, -1.13434
-8.43799,  2.39906, 709.31828, -15.08206,  6.48757, -1.36120
-8.15673,  3.03039, 709.31828, -15.08206,  6.48757, -1.28558
-8.57863,  2.77786, 708.28655, -15.08206,  6.29952, -1.20996
-8.29736,  3.03039, 708.80242, -14.98349,  6.39355, -1.09653
-8.15673,  3.15666, 709.31828, -15.08206,  6.48757, -1.24777
-8.85989,  3.15666, 709.31828, -15.08206,  6.48757, -1.36120
-8.85989,  2.65159, 709.31828, -15.08206,  6.48757, -1.36120
-8.15673,  3.28292, 709.31828, -15.08206,  6.48757, -1.43683
-7.87546,  3.15666, 709.31828, -15.08206,  6.48757, -1.24777
-7.87546,  2.65159, 708.80242, -14.98349,  6.39355, -1.20996
-8.01609,  3.03039, 708.80242, -14.98349,  6.39355, -1.24777
-8.01609,  3.40919, 708.80242, -14.98349,  6.39355, -1.17215
-8.15673,  2.39906, 708.28655, -15.08206,  6.29952, -1.24777
-8.29736,  2.39906, 708.28655, -15.08206,  6.29952, -1.36120
-7.87546,  2.39906, 708.28655, -15.08206,  6.29952, -1.20996
-8.29736,  2.27279, 707.77068, -14.98349,  6.20550, -1.32339
-8.15673,  2.90413, 708.28655, -15.08206,  6.29952, -1.39902
-8.15673,  2.52533, 707.77068, -14.98349,  6.20550, -1.32339
-8.29736,  2.65159, 709.31828, -15.08206,  6.29952, -1.17215
-7.87546,  2.77786, 708.80242, -15.18064,  6.20550, -1.17215
-7.87546,  2.77786, 707.77068, -14.98349,  6.20550, -1.09653
-7.45356,  2.90413, 709.31828, -15.08206,  6.29952, -1.17215
-8.01609,  3.15666, 708.80242, -15.18064,  6.20550, -1.28558
-8.29736,  3.53546, 709.31828, -15.08206,  6.11148, -1.17215
-8.01609,  2.65159, 708.28655, -15.08206,  6.11148, -1.32339
-8.29736,  2.77786, 708.28655, -15.08206,  6.11148, -1.32339
-8.57863,  3.28292, 708.28655, -15.08206,  6.11148, -1.32339
-8.29736,  3.03039, 708.28655, -15.08206,  6.11148, -1.20996
-8.15673,  2.90413, 709.31828, -15.08206,  6.11148, -1.20996
-8.15673,  3.28292, 709.31828, -15.08206,  6.11148, -1.36120
-7.87546,  3.03039, 709.83415, -15.18064,  6.01746, -1.32339
-8.29736,  3.15666, 709.31828, -15.27921,  6.11148, -1.20996
-8.15673,  2.90413, 709.31828, -15.27921,  6.11148, -1.32339
-8.15673,  2.77786, 709.31828, -15.27921,  6.11148, -1.20996
-8.01609,  2.65159, 708.80242, -15.37779,  6.01746, -1.28558
-8.57863,  2.52533, 708.80242, -15.37779,  6.01746, -1.24777
-8.71926,  2.90413, 708.80242, -15.37779,  6.01746, -1.47464
-8.43799,  2.14653, 708.80242, -15.37779,  6.01746, -1.20996
-8.71926,  2.52533, 708.80242, -15.37779,  6.01746, -1.20996
-8.15673,  2.65159, 707.25481, -15.47636,  5.92343, -1.20996
-8.15673,  2.27279, 708.80242, -15.37779,  6.01746, -1.17215
-8.15673,  2.65159, 708.80242, -15.37779,  6.01746, -1.13434
-8.71926,  2.27279, 708.80242, -15.57494,  6.01746, -1.17215
-8.85989,  2.27279, 708.80242, -15.57494,  6.01746, -1.20996
-8.15673,  2.02026, 708.28655, -15.67351,  5.92343, -1.05871
-8.01609,  2.02026, 708.28655, -15.67351,  5.92343, -1.24777
-8.57863,  1.76773, 708.28655, -15.67351,  5.92343, -1.13434
-8.29736,  1.76773, 708.80242, -15.77209,  5.82941, -1.20996
-8.57863,  2.52533, 709.31828, -15.87067,  5.92343, -1.39902
-8.43799,  2.27279, 709.31828, -15.87067,  5.92343, -0.98309
-8.01609,  1.76773, 709.31828, -15.87067,  5.92343, -1.20996
-8.71926,  1.76773, 709.31828, -15.87067,  5.92343, -1.39902
-8.43799,  1.89399, 708.80242, -15.96924,  5.82941, -1.28558
-8.43799,  1.38893, 708.80242, -15.96924,  5.82941, -1.36120
-8.43799,  1.38893, 708.80242, -15.96924,  5.82941, -1.17215
-8.29736,  1.76773, 708.80242, -15.96924,  5.82941, -1.09653
-8.29736,  1.64146, 708.28655, -15.87067,  5.73539, -1.09653
-8.29736,  1.64146, 708.28655, -15.87067,  5.73539, -1.24777
-8.29736,  1.64146, 708.28655, -15.87067,  5.73539, -1.39902
-8.29736,  1.51520, 708.28655, -15.87067,  5.73539, -1.09653
-8.15673,  1.51520, 707.77068, -15.96924,  5.82941, -1.17215
-8.15673,  1.76773, 707.25481, -16.06782,  5.73539, -1.05871
-8.43799,  1.76773, 707.25481, -16.06782,  5.73539, -0.98309
-8.29736,  1.51520, 706.73894, -15.96924,  5.82941, -1.13434
-8.01609,  1.01013, 706.73894, -15.96924,  5.64136, -1.20996
-8.57863,  1.51520, 706.73894, -16.16639,  5.64136, -1.32339
-8.85989,  1.26266, 706.73894, -16.16639,  5.64136, -1.20996
-8.15673,  1.51520, 706.22308, -16.06782,  5.92343, -1.32339
-8.43799,  2.02026, 707.25481, -16.06782,  5.73539, -1.20996
-8.43799,  1.51520, 706.73894, -16.16639,  5.64136, -1.24777
-8.43799,  1.76773, 707.25481, -16.06782,  5.73539, -1.05871
-8.29736,  1.64146, 707.25481, -16.06782,  5.73539, -1.05871
-8.43799,  1.13640, 707.77068, -16.16639,  5.64136, -1.28558
-8.15673,  1.01013, 707.77068, -16.16639,  5.82941, -1.39902
-8.43799,  1.51520, 708.28655, -16.26497,  5.73539, -1.17215
-8.15673,  1.13640, 707.77068, -16.36354,  5.64136, -1.20996
-8.29736,  1.01013, 708.28655, -16.26497,  5.73539, -1.02090
-8.29736,  0.63133, 708.28655, -16.26497,  5.73539, -1.02090
-8.43799,  1.01013, 708.80242, -16.36354,  5.82941, -1.09653
-8.15673,  1.01013, 708.80242, -16.36354,  5.82941, -1.17215
-7.73483,  1.38893, 708.80242, -16.36354,  5.82941, -1.17215
-8.29736,  1.13640, 708.80242, -16.36354,  5.82941, -1.05871
-7.87546,  1.01013, 708.28655, -16.46212,  5.92343, -1.05871
-8.15673,  0.88386, 708.80242, -16.36354,  5.82941, -1.20996
-7.59419,  0.63133, 708.80242, -16.36354,  5.82941, -1.20996
-7.73483,  0.75760, 708.80242, -16.36354,  5.82941, -1.02090
-7.73483,  0.88386, 708.80242, -16.36354,  5.82941, -1.20996
-8.01609,  0.50507, 708.80242, -16.36354,  5.82941, -1.32339
-8.43799,  0.75760, 709.31828, -16.46212,  5.92343, -1.36120
-8.57863,  1.38893, 708.80242, -16.36354,  5.82941, -1.24777
-8.43799,  1.13640, 708.80242, -16.36354,  5.82941, -1.20996
-8.43799,  1.51520, 708.80242, -16.36354,  5.82941, -1.51245
-8.29736,  1.76773, 708.80242, -16.56069,  6.01746, -1.32339
-8.29736,  1.26266, 708.80242, -16.36354,  5.82941, -1.13434
-8.01609,  1.51520, 708.80242, -16.36354,  5.82941, -1.13434
-8.43799,  1.89399, 708.28655, -16.46212,  5.92343, -1.17215
-8.29736,  1.26266, 708.28655, -16.46212,  5.92343, -1.39902
-8.01609,  1.64146, 708.28655, -16.46212,  5.92343, -1.28558
-8.43799,  1.89399, 708.80242, -16.36354,  5.82941, -1.17215
-8.29736,  2.02026, 707.77068, -16.36354,  6.01746, -1.13434
-8.01609,  1.51520, 708.80242, -16.36354,  5.82941, -1.20996
-8.01609,  1.76773, 707.77068, -16.36354,  6.01746, -1.47464
-8.43799,  2.02026, 707.77068, -16.36354,  6.01746, -1.20996
-8.01609,  1.89399, 707.77068, -16.36354,  6.01746, -1.36120
-8.01609,  1.38893, 707.77068, -16.36354,  6.01746, -1.43683
-8.01609,  1.38893, 707.77068, -16.36354,  6.01746, -1.24777
-8.43799,  1.51520, 707.77068, -16.36354,  6.01746, -1.28558
